county_id,prec_id,total_votes,pct_latino,pct_trump,pct_clinton,state
201,2010526,395.0,0.877955493741307,0.189873417721519,0.726582278481013,tx
201,2010528,25.0,0.32,0.0,0.92,tx
201,2010529,2544.0,0.145338208409506,0.783018867924528,0.15251572327044,tx
201,2010530,589.0,0.960517584605176,0.161290322580645,0.796264855687606,tx
201,2010531,1401.0,0.178299120234604,0.738758029978587,0.223411848679515,tx
201,2010532,621.0,0.27449168207024,0.623188405797101,0.323671497584541,tx
201,2010533,522.0,0.431409295352324,0.471264367816092,0.471264367816092,tx
201,2010534,2478.0,0.424561403508772,0.667070217917676,0.287328490718321,tx
201,2010535,194.0,0.858031088082902,0.27319587628866,0.628865979381443,tx
201,2010536,3163.0,0.614391766492323,0.279797660448941,0.659816629781853,tx
201,2010537,2425.0,0.170518122111408,0.658556701030928,0.298969072164948,tx
201,2010538,575.0,0.205741626794258,0.0156521739130435,0.949565217391304,tx
201,2010539,1045.0,0.0697674418604651,0.489952153110048,0.45933014354067,tx
201,2010540,1366.0,0.111387900355872,0.232064421669107,0.695461200585652,tx
201,2010541,2935.0,0.206083887043189,0.118228279386712,0.819761499148211,tx
201,2010542,1563.0,0.59876965140123,0.054382597568778,0.909149072296865,tx
201,2010543,875.0,0.904191616766467,0.226285714285714,0.716571428571429,tx
201,2010544,138.0,0.672348484848485,0.0942028985507246,0.869565217391304,tx
201,2010545,2491.0,0.299309902102391,0.392211963067041,0.556001605780811,tx
201,2010546,1803.0,0.956521739130435,0.723793677204659,0.20077648363838,tx
201,2010547,1686.0,0.272789425706472,0.601423487544484,0.311981020166074,tx
201,2010548,1278.0,0.469936114242766,0.396713615023474,0.543818466353678,tx
201,2010549,1553.0,0.491004366812227,0.106889890534449,0.854475209272376,tx
201,2010550,1732.0,0.29378774805867103,0.380484988452656,0.569284064665127,tx
201,2010551,3388.0,0.175338189386056,0.648465171192444,0.282172373081464,tx
201,2010552,2879.0,0.0812075824947344,0.750955192775269,0.194164640500174,tx
201,2010553,1281.0,0.527116694682828,0.323965651834504,0.615144418423107,tx
201,2010554,868.0,0.561304836895388,0.175115207373272,0.785714285714286,tx
201,2010555,1032.0,0.543356286661566,0.148255813953488,0.794573643410853,tx
201,2010556,1195.0,0.462219076269687,0.171548117154812,0.782426778242678,tx
201,2010557,1385.0,0.571654539702626,0.249819494584838,0.695306859205776,tx
201,2010558,2542.0,0.315389331698345,0.259244689221086,0.682533438237608,tx
201,2010559,2624.0,0.292222963951936,0.186737804878049,0.750381097560976,tx
201,2010560,537.0,0.955932203389831,0.163873370577281,0.778398510242086,tx
201,2010561,1651.0,0.361518093556928,0.560872198667474,0.37976983646275,tx
201,2010562,338.0,0.694870086608927,0.103550295857988,0.846153846153846,tx
201,2010563,2420.0,0.0945273631840796,0.671900826446281,0.256611570247934,tx
201,2010564,2105.0,0.0970417130833024,0.173871733966746,0.733016627078385,tx
201,2010565,487.0,0.750724637681159,0.149897330595483,0.806981519507187,tx
201,2010566,1633.0,0.389084736910824,0.218003674219228,0.718922229026332,tx
201,2010567,1357.0,0.620823190971454,0.225497420781135,0.725865880619013,tx
201,2010568,2538.0,0.115076182838813,0.554373522458629,0.367612293144208,tx
201,2010569,2797.0,0.183179356482956,0.384697890597068,0.540936717912049,tx
201,2010570,1049.0,0.168709444844989,0.265967588179218,0.638703527168732,tx
201,2010571,835.0,0.900411522633745,0.259880239520958,0.683832335329341,tx
201,2010572,1986.0,0.215555924879508,0.358509566968781,0.568479355488419,tx
201,2010573,705.0,0.127214741318214,0.024113475177305,0.950354609929078,tx
201,2010574,186.0,0.759433962264151,0.123655913978495,0.82258064516129,tx
201,2010575,2444.0,0.153225806451613,0.493453355155483,0.437397708674304,tx
201,2010576,1487.0,0.199745222929936,0.0497646267652993,0.915938130464022,tx
201,2010577,1092.0,0.514026402640264,0.513736263736264,0.423992673992674,tx
201,2010578,1434.0,0.187862561356537,0.493723849372385,0.417015341701534,tx
201,2010579,468.0,0.606874573184612,0.158119658119658,0.788461538461538,tx
201,2010580,474.0,0.141802067946824,0.0358649789029536,0.924050632911392,tx
201,2010581,594.0,0.130434782608696,0.0202020202020202,0.956228956228956,tx
201,2010582,775.0,0.270193861066236,0.0567741935483871,0.890322580645161,tx
201,2010583,589.0,0.2318358291736,0.0271646859083192,0.943972835314092,tx
201,2010584,487.0,0.543772563176895,0.0759753593429158,0.895277207392197,tx
201,2010585,1110.0,0.323268581081081,0.054954954954955,0.922522522522523,tx
201,2010586,2584.0,0.311891306961645,0.532507739938081,0.407120743034056,tx
201,2010587,1641.0,0.377760095484384,0.302864107251676,0.647775746496039,tx
201,2010588,2552.0,0.203188728216537,0.610501567398119,0.325626959247649,tx
201,2010589,2089.0,0.404700448308654,0.415988511249402,0.514600287218765,tx
201,2010590,1631.0,0.0755451713395639,0.68976088289393,0.241569589209074,tx
201,2010591,1114.0,0.873845120107509,0.218132854578097,0.735188509874327,tx
201,2010592,721.0,0.655745062836625,0.166435506241331,0.755894590846047,tx
201,2010593,2317.0,0.607684630738523,0.356495468277946,0.583081570996979,tx
201,2010594,1568.0,0.332828719723183,0.242984693877551,0.705994897959184,tx
201,2010595,901.0,0.564261043446646,0.119866814650388,0.826859045504994,tx
201,2010596,1882.0,0.33162693968965,0.39798087141339,0.513283740701381,tx
201,2010598,3122.0,0.157553290083411,0.299167200512492,0.635810377962844,tx
201,2010599,1873.0,0.388894731307183,0.305392418579818,0.641217298451682,tx
201,2010600,2380.0,0.430808080808081,0.300420168067227,0.647478991596639,tx
201,2010601,2899.0,0.102973977695167,0.639530872714729,0.289755087961366,tx
201,2010602,990.0,0.115822130299897,0.62020202020202,0.316161616161616,tx
201,2010603,3074.0,0.35090206185567,0.509759271307742,0.40793754066363,tx
201,2010604,2195.0,0.126910016977929,0.809567198177677,0.142141230068337,tx
201,2010605,2313.0,0.594520139974685,0.204496325118893,0.746649373108517,tx
201,2010606,430.0,0.182404692082111,0.0232558139534884,0.937209302325581,tx
201,2010607,214.0,0.245283018867925,0.107476635514019,0.850467289719626,tx
201,2010608,233.0,0.822149032523672,0.283261802575107,0.648068669527897,tx
201,2010609,2771.0,0.264888123924269,0.50920245398773,0.425478166726813,tx
