total_votes,pct_latino,pct_trump,pct_clinton,state
835.0,0.476363636,0.329341317,0.65508982,fl
1515.0,0.186954289,0.452805281,0.532673267,fl
2305.0,0.506919374,0.219088937,0.75010846,fl
680.0,0.156945917,0.501470588,0.469117647,fl
1689.0,0.209561753,0.100651273,0.874481942,fl
750.0,0.208185053,0.266666667,0.717333333,fl
1427.0,0.141717504,0.38822705,0.590749825,fl
479.0,0.291316527,0.425887265,0.557411273,fl
803.0,0.439004149,0.171855542,0.810709838,fl
9.0,0.1,0.333333333,0.666666667,fl
2536.0,0.345149766,0.197160883,0.778391167,fl
2342.0,0.431738993,0.380444065,0.591374893,fl
354.0,0.481415929,0.237288136,0.751412429,fl
1301.0,0.201254574,0.080707148,0.899308224,fl
2319.0,0.163919953,0.08581285,0.891332471,fl
1555.0,0.169140801,0.085530547,0.886173633,fl
1861.0,0.158093797,0.080601827,0.902203117,fl
2582.0,0.155055571,0.110379551,0.870642912,fl
1854.0,0.246669204,0.14832794,0.822545847,fl
1146.0,0.268592502,0.120418848,0.856020942,fl
1446.0,0.171265461,0.082295989,0.903181189,fl
1764.0,0.219162141,0.074829932,0.900226757,fl
2087.0,0.207961565,0.103018687,0.877815046,fl
246.0,0.166666667,0.117886179,0.869918699,fl
1283.0,0.121245829,0.087295401,0.892439595,fl
872.0,0.171243942,0.074541284,0.910550459,fl
2014.0,0.166952348,0.079940417,0.901688183,fl
1340.0,0.132596685,0.073880597,0.910447761,fl
2363.0,0.245945149,0.114684723,0.861193398,fl
2323.0,0.270024272,0.131726216,0.846749892,fl
183.0,0.13618677,0.092896175,0.901639344,fl
439.0,0.077922078,0.045558087,0.9476082,fl
2125.0,0.392690792,0.339294118,0.632,fl
1901.0,0.408050513,0.326144135,0.647553919,fl
1581.0,0.26197318000000003,0.299177736,0.677419355,fl
487.0,0.222049689,0.092402464,0.893223819,fl
390.0,0.304435484,0.192307692,0.78974359,fl
1284.0,0.247457627,0.130062305,0.849688474,fl
79.0,0.231481481,0.13924050599999999,0.835443038,fl
1114.0,0.265359477,0.150807899,0.825852783,fl
1171.0,0.323087432,0.174210077,0.793339026,fl
1386.0,0.261802575,0.246031746,0.727994228,fl
1201.0,0.252559727,0.325562032,0.631140716,fl
278.0,0.321637427,0.273381295,0.715827338,fl
1191.0,0.262569832,0.112510495,0.861460957,fl
785.0,0.174386921,0.108280255,0.868789809,fl
1044.0,0.247734139,0.087164751,0.891762452,fl
1028.0,0.224040277,0.064202335,0.908560311,fl
894.0,0.150496562,0.080536913,0.907158837,fl
1113.0,0.239453357,0.106019766,0.863432165,fl
232.0,0.296529968,0.146551724,0.793103448,fl
243.0,0.21657754,0.135802469,0.847736626,fl
339.0,0.588621444,0.318584071,0.634218289,fl
1898.0,0.604151223,0.21654373,0.75711275,fl
366.0,0.354207436,0.133879781,0.849726776,fl
22.0,0.193548387,0.136363636,0.863636364,fl
85.0,0.43442623,0.176470588,0.811764706,fl
129.0,0.14754098399999999,0.054263566,0.937984496,fl
162.0,0.049107143,0.030864198,0.956790123,fl
104.0,0.2375,0.057692308,0.894230769,fl
209.0,0.476190476,0.205741627,0.775119617,fl
324.0,0.405088063,0.169753086,0.799382716,fl
1228.0,0.323662153,0.251628664,0.710912052,fl
738.0,0.201269266,0.070460705,0.901084011,fl
458.0,0.283246978,0.296943231,0.663755459,fl
204.0,0.220149254,0.387254902,0.593137255,fl
737.0,0.24975025,0.15468114,0.826322931,fl
2017.0,0.261967584,0.376301438,0.601883986,fl
193.0,0.177165354,0.10880829,0.865284974,fl
733.0,0.630456853,0.39154161,0.574351978,fl
1963.0,0.107715244,0.048904738,0.937850229,fl
977.0,0.766189502,0.320368475,0.651995906,fl
698.0,0.252390057,0.131805158,0.840974212,fl
1648.0,0.786186931,0.368325243,0.594660194,fl
1333.0,0.796425458,0.285071268,0.690922731,fl
1451.0,0.474264706,0.215024121,0.762232943,fl
1948.0,0.056530899,0.036447639,0.945585216,fl
1273.0,0.09701897,0.027494108,0.957580518,fl
1709.0,0.05607064,0.055588063,0.931538912,fl
2160.0,0.237561779,0.133796296,0.843981481,fl
1942.0,0.349716446,0.191555098,0.780123584,fl
2324.0,0.284560144,0.124784854,0.84595525,fl
1305.0,0.235682819,0.118007663,0.853639847,fl
1711.0,0.139391447,0.084745763,0.892460549,fl
1954.0,0.098018401,0.0419652,0.937563971,fl
2048.0,0.071255621,0.046875,0.938476563,fl
1730.0,0.084318962,0.059537572,0.92716763,fl
2101.0,0.072140158,0.038077106,0.948595907,fl
1610.0,0.0674567,0.042857143,0.937267081,fl
1022.0,0.048408488,0.023483366,0.959882583,fl
843.0,0.117402165,0.054567023,0.941874259,fl
1683.0,0.059726255,0.03446227,0.948306595,fl
1812.0,0.041683367,0.029249448,0.960264901,fl
1565.0,0.131132917,0.060702875,0.921405751,fl
1419.0,0.235592439,0.078928823,0.895701198,fl
1822.0,0.163133309,0.054335895,0.927552141,fl
1301.0,0.114803625,0.04688701,0.933128363,fl
1687.0,0.247058824,0.080616479,0.905749852,fl
1867.0,0.139664804,0.046598822,0.936797001,fl
1592.0,0.458333333,0.134422111,0.845477387,fl
1771.0,0.634174312,0.269904009,0.704121965,fl
1493.0,0.683437222,0.340254521,0.629604823,fl
1502.0,0.605412484,0.239014647,0.733688415,fl
1634.0,0.419572108,0.171970624,0.804161567,fl
571.0,0.175644028,0.084063047,0.900175131,fl
470.0,0.557232704,0.19787234,0.774468085,fl
1112.0,0.237147595,0.082733813,0.908273381,fl
931.0,0.186267348,0.066595059,0.922663802,fl
862.0,0.129218107,0.077726218,0.90487239,fl
1977.0,0.105094407,0.070308548,0.909964593,fl
1873.0,0.160148976,0.065670048,0.916177256,fl
1689.0,0.306706858,0.09946714,0.886323268,fl
1981.0,0.214728149,0.079252903,0.906108026,fl
670.0,0.122613065,0.041791045,0.947761194,fl
1655.0,0.25766395,0.068277946,0.909969789,fl
1092.0,0.230017251,0.072344322,0.912087912,fl
1604.0,0.759857904,0.312967581,0.663341646,fl
891.0,0.572318339,0.234567901,0.74298541,fl
1696.0,0.464310707,0.16745283,0.809551887,fl
1423.0,0.239744758,0.085031623,0.901616304,fl
1592.0,0.120633631,0.04459799,0.938442211,fl
1760.0,0.128176796,0.036363636,0.948295455,fl
975.0,0.136297376,0.055384615,0.937435897,fl
1384.0,0.13542600900000001,0.044797688,0.942919075,fl
1557.0,0.186535764,0.111111111,0.871547848,fl
1306.0,0.079883098,0.031393568,0.950995406,fl
693.0,0.131054131,0.046176046,0.940836941,fl
984.0,0.271446863,0.080284553,0.912601626,fl
582.0,0.210526316,0.063573883,0.929553265,fl
1379.0,0.10199456,0.034082669,0.955039884,fl
1140.0,0.185770751,0.081578947,0.907894737,fl
851.0,0.227765727,0.068155112,0.918918919,fl
67.0,0.27173913,0.164179104,0.776119403,fl
51.0,0.337662338,0.215686275,0.764705882,fl
899.0,0.405619597,0.131256952,0.848720801,fl
1039.0,0.087816945,0.047160731,0.932627526,fl
1640.0,0.11622276,0.042682927,0.940243902,fl
1469.0,0.718087506,0.290673928,0.677331518,fl
978.0,0.397400821,0.143149284,0.842535787,fl
230.0,0.21971831,0.056521739,0.92173913,fl
1026.0,0.187421384,0.087719298,0.894736842,fl
97.0,0.764705882,0.329896907,0.670103093,fl
715.0,0.094117647,0.033566434,0.956643357,fl
163.0,0.846385542,0.312883436,0.668711656,fl
1652.0,0.202686685,0.074455206,0.91283293,fl
866.0,0.870277976,0.33256351,0.633949192,fl
125.0,0.89,0.416,0.568,fl
5.0,0.6,0.4,0.6,fl
28.0,0.666666667,0.571428571,0.428571429,fl
1686.0,0.410369775,0.194543298,0.787663108,fl
2245.0,0.078527208,0.043207127,0.946993318,fl
1649.0,0.406238256,0.162522741,0.81443299,fl
1923.0,0.885910653,0.460218409,0.517940718,fl
1645.0,0.631699496,0.486930091,0.469908815,fl
1158.0,0.882840237,0.442141623,0.532815199,fl
2733.0,0.829075115,0.320526894,0.646542261,fl
